id,name,place_id,latitude,longitude,user_ratings_total,rating,googlemap_link,image_path,type
0,東京スカイツリー（Ｒ）,ChIJ35ov0dCOGGARKvdDH7NPHX0,35.7100627,139.8107004,79103,4.4,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%84%E3%83%AA%E3%83%BC%EF%BC%88%EF%BC%B2%EF%BC%89,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFgnefNiNMPxl_lWoQHjNRgSidJ5sGcbvT4zIK55zHUdO8HEXnKCbyxMjVvsHuDOHf6uAwzKmQLKJ_X_bK8YK-e2N0r4jhiH5irXFH0bBTHNsvo7vuBOiF4v_4qrEW3-ya3ykhGBp1oiECyoBcOiMR-Iw6cuP1jk4evNp8NU-P6DKnLF&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
1,東京タワー,ChIJCewJkL2LGGAR3Qmk0vCTGkg,35.6585805,139.7454329,68195,4.4,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%82%BF%E3%83%AF%E3%83%BC,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFgZvJU1oiM3S0SL6n_BHDaq7mwskVBPWvgbjdadlBgvri6gXU-gk_Pj3h4BH-TziOGT9wdnyo-IHdEjGnsZlvcmPk86BcJyJ-lK1DLqaOhpCvYhmSUpmIBTnrYxS1uRHIMiYh11tai95HzlFTJPFn7_JzjMWpfU78k_edK86LMRemV1&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
2,東京ドーム,ChIJ89TugkeMGGARDmSeJIiyWFA,35.7056396,139.7518913,39773,4.2,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%83%89%E3%83%BC%E3%83%A0,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFga_DxNxrM7B7RdEpozfpEV7GXlzdzjoopVgoJ6INKNxJfUjA4M8dl_27OTTjXeO_KIE7AQm8Qu7Wpm4mGsFfPcaVGKpjGklaNBZZxgs5dDBAtXoqCt_U0tOvMdduC6zo-oKK9eGhyu0TFPwGNXsDvSVGbaCMD9n1o2CWYcTRc52uLv&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
3,上野恩賜公園,ChIJw2qQRZuOGGARWmROEiM2y7E,35.7147557,139.7734312,26985,4.3,https://www.google.com/maps/search/?api=1&query=%E4%B8%8A%E9%87%8E%E6%81%A9%E8%B3%9C%E5%85%AC%E5%9C%92,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFjskhURLwugCTCZmDlfT_0NcSq3ft3vtKuZQiocYaaRFpiEK3rqO0y--uVjvwG9jH0tuiE5Mtr4wNAlxYJ9Qg6i7lqznZMRvEmzAPIOVJj5wACr5I4RPc9db6eHRFNWL-ZU3JoNMzNKw1BwdTOq8L5VKS2hAJNdgNhxFIk-jNs6CsW4&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
4,横浜ランドマークタワー,ChIJEaFmc11cGGARx8g0NQrvYTY,35.45495400000001,139.6313859,26398,4.2,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E3%83%A9%E3%83%B3%E3%83%89%E3%83%9E%E3%83%BC%E3%82%AF%E3%82%BF%E3%83%AF%E3%83%BC,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFiTUZpU_-egXECFYkeZ2AF-Nsnwv3adMsbp5wGNiqka7mCmQIgYLTnk7XJ6EfAd18_ynQsyh0ZCQDWuwjItVM9ziPy2is6lWg83oY1hKDjL7v3v-Xq-sEkXbl2LDKxoTl8OfyioEBKab24M58zLbrA8fzA9Tc8p8M1s0O-ImVdK2DAI&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
5,東京国立博物館,ChIJEX3XFIOOGGAR3XdJvRjWLyM,35.7188351,139.7765215,22978,4.5,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E5%9B%BD%E7%AB%8B%E5%8D%9A%E7%89%A9%E9%A4%A8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFhOKNYM2gW7_fhaiD1-PEsKW0fxQzhZRTDHAuSqOPvNT4NFIt5vw3K0QVdBa2AFnkzwlxpMpDIVuX2Oqupg924v9dVJv9AwG1M2AtlDYtrXx7G6xHW-LvmFstVa25aGB5grptyrdHT-G7zFyfkUYNOifuaJIPgxDrBmTvwuN3WUbAln&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
6,松本城,ChIJmVmaCoUOHWARVPa8-iAOLZA,36.238653,137.9688674,22833,4.5,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E6%9C%AC%E5%9F%8E,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFiEN7RW9TwYxv2rmm-A0sE1RKWNtiR4dpedydvEKbpLlOarmVWCrTzGFr6bnjfe4gXt32AGcGR7vClnuxtWmKDw7sRMcNMEaJ9gB9r5l9h5lzQvCvTATh5vucMq1vdizMueZyAOVHK59kxwEeBr0_odYxnJvNQZu5HlY8G4320qIfzR&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
7,国立科学博物館,ChIJ8Vuh65yOGGARyj4L5IBFiIk,35.7163786,139.7765769,22427,4.5,https://www.google.com/maps/search/?api=1&query=%E5%9B%BD%E7%AB%8B%E7%A7%91%E5%AD%A6%E5%8D%9A%E7%89%A9%E9%A4%A8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFiKRbgFsx2U3WjXFoiYUMywt_LYPohgkodQbHvCAZHtdmE8mhkfkjiGrEhlZRkzKEzofBUa999Z4P0VHrPLFB5bLyDEXX-RZTT0LuxUpG99iypf6rIrl4J4yj_TyqJmOdQK-jA-8i3xPXT_L8Wm2wv7NI0SrMPB2Dm6KVCuRWXQwNsP&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
8,代々木公園,ChIJMwpiebSMGGARPr_454zHvDQ,35.6700649,139.6949656,22250,4.3,https://www.google.com/maps/search/?api=1&query=%E4%BB%A3%E3%80%85%E6%9C%A8%E5%85%AC%E5%9C%92,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFieD8P5pjRXd8pzApxOLmqpPodUVDgYsh3ADKCCUNABsb5zGCx46kClx7r2SKY1YqYNE0f1sN67nWrXS9cgat4sIpGBIaEQp6aKYoppFuIXIULm1DipDDB154bNhmvgvJFsj1Lz-amq-sAiBAarDhV0Py7rxpCym3NRCIaNMkIdt4Eo&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
9,山下公園,ChIJt1e7seJcGGARbDdyYvFJuuM,35.4457655,139.6497793,21491,4.3,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E4%B8%8B%E5%85%AC%E5%9C%92,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWU5eFgjwtjJz7XrF6KuJVNhaPwcM_3N1-NKjYdhW3NLdHhqBCt-I4LxX38r8yQu4nvxlisU4Gw90xyK4rb_PkMQQQb0o9Rulu1TuU0BmN7pSIM7NpR9_lol6HTfRpRfQTfF5e8rYbFomrjKlWRAk1q5JfEEQNus9f53svd9ly5F-F352lmh&key=AIzaSyDRtBbyNZY_-9mLlQgYcDWPnN4c5LNarC4,sightseeing
